age,gender,sleep_hours,food_quality,exercise_hours,work_stress,screen_time,health_issues,social_interaction,introvert_extrovert,financial_stress,relationship_status,academic_pressure,job_satisfaction,family_support,sleep_quality,physical_pain,anxiety_level,depression_level,optimism_score,mental_state
56,male,3,5,1,4,12,0,3,introvert,5,married,9,10,4,4,0,2,8,8,stable
46,male,7,1,0,4,9,0,5,introvert,4,in_relationship,4,1,2,4,0,2,7,10,happy
32,other,8,2,0,7,7,0,4,introvert,2,married,6,1,2,3,0,8,9,8,stressed
25,male,6,1,0,8,2,0,2,introvert,4,single,2,10,2,3,1,1,9,2,stressed
38,other,6,1,2,1,13,0,5,introvert,1,married,4,7,1,2,0,4,6,4,stable
56,male,4,4,0,5,2,0,2,extrovert,4,in_relationship,2,2,3,3,1,10,7,10,stable
36,other,8,3,0,7,8,0,4,extrovert,5,in_relationship,10,4,2,3,0,5,2,1,stressed
40,male,7,5,1,4,9,1,3,introvert,5,single,5,5,1,3,0,9,9,4,anxious
28,female,5,1,0,4,6,1,2,extrovert,4,married,7,7,4,4,0,7,1,4,stressed
28,male,3,5,2,4,13,0,1,extrovert,5,married,1,2,5,2,0,8,1,10,happy
41,male,4,1,0,6,12,0,1,introvert,2,married,10,6,1,4,0,9,3,9,anxious
53,female,6,2,2,7,6,0,5,extrovert,4,in_relationship,10,1,5,5,0,7,6,3,anxious
57,male,5,1,0,2,5,0,4,extrovert,2,single,7,7,2,4,0,5,5,2,stressed
41,female,5,4,0,5,15,0,5,extrovert,2,married,10,9,2,5,0,5,2,9,stable
20,male,3,3,0,4,7,1,5,extrovert,3,in_relationship,6,5,1,1,0,10,9,9,anxious
39,other,8,2,0,3,15,0,5,extrovert,4,in_relationship,6,5,5,1,0,6,10,1,anxious
19,other,6,1,2,7,7,0,1,extrovert,5,in_relationship,8,4,2,5,0,5,4,6,stressed
41,male,7,5,2,6,4,1,1,extrovert,2,married,8,3,4,5,0,9,4,10,happy
47,male,5,2,1,7,10,0,5,extrovert,3,married,6,9,3,4,0,3,5,8,stable
55,male,3,2,2,5,13,1,1,introvert,4,married,3,5,3,5,1,3,8,3,anxious
19,other,7,1,0,6,12,0,4,introvert,4,married,5,8,2,2,0,7,10,9,stressed
38,male,8,2,1,5,15,0,5,extrovert,1,married,2,9,5,1,0,7,4,2,stable
50,other,6,5,1,7,8,0,1,extrovert,1,married,5,5,2,1,0,6,5,6,stable
29,female,8,2,1,2,2,0,2,introvert,2,married,9,10,5,5,0,3,4,1,happy
39,other,5,5,0,5,14,1,5,extrovert,1,married,10,9,4,3,0,7,6,7,stressed
42,other,7,1,2,6,8,0,5,extrovert,2,married,1,2,5,3,1,5,3,3,happy
44,female,7,3,0,6,6,1,4,introvert,5,in_relationship,10,9,2,5,1,7,8,7,stressed
59,other,7,2,1,5,6,0,3,introvert,2,married,5,4,4,2,0,2,6,4,stable
45,male,5,3,0,10,15,0,3,introvert,1,single,6,6,1,3,0,6,10,9,anxious
33,male,5,5,0,7,14,0,4,extrovert,5,in_relationship,7,6,3,5,0,8,5,5,anxious
32,other,8,2,2,10,3,0,4,extrovert,1,married,9,6,2,2,0,1,2,3,happy
20,male,4,4,2,8,5,1,4,introvert,2,single,6,2,2,2,0,4,10,8,stressed
54,other,8,3,1,7,13,0,3,introvert,3,married,5,7,2,4,0,1,10,6,stable
24,male,6,2,0,5,7,0,4,extrovert,4,single,7,6,4,2,0,1,7,2,stressed
38,male,3,3,0,1,11,0,1,introvert,1,single,1,1,1,3,1,10,2,3,stressed
26,other,7,2,2,5,12,0,5,extrovert,2,single,5,2,5,3,0,8,1,8,happy
56,male,4,1,0,10,8,0,5,extrovert,5,single,2,7,1,5,0,7,7,10,stressed
35,other,3,3,0,2,12,0,2,introvert,1,in_relationship,4,1,4,5,1,10,5,7,stressed
21,male,4,4,0,5,6,1,2,introvert,1,in_relationship,7,1,2,2,0,1,1,10,happy
42,male,9,4,2,5,10,0,5,extrovert,4,single,5,1,3,1,1,2,4,6,happy
31,female,8,5,1,2,4,0,1,introvert,2,married,6,8,2,4,0,4,4,1,happy
26,female,5,2,1,5,2,0,3,introvert,3,single,2,4,5,1,0,1,10,9,happy
43,other,7,3,0,4,5,0,3,introvert,5,in_relationship,3,4,3,2,1,3,7,3,stable
19,female,8,5,1,1,10,1,1,introvert,2,married,7,2,2,2,0,8,9,5,stressed
37,other,3,3,2,3,5,0,3,extrovert,5,in_relationship,2,1,3,1,0,8,2,7,stable
45,female,9,2,2,1,3,0,4,extrovert,1,in_relationship,6,10,1,4,0,8,1,7,happy
24,male,9,4,1,5,11,0,5,extrovert,4,married,5,9,4,1,0,6,2,3,happy
25,other,9,1,1,4,15,0,5,extrovert,4,single,10,7,2,5,0,6,7,4,stressed
52,other,3,4,0,7,15,0,1,introvert,3,single,1,4,5,3,1,5,10,10,stressed
31,male,3,5,1,5,6,1,3,introvert,4,single,10,6,1,5,1,9,6,7,anxious
34,other,3,1,0,10,4,1,2,extrovert,1,single,4,2,2,3,1,4,4,8,stressed
53,other,3,5,0,4,14,1,2,extrovert,3,married,2,7,1,2,0,10,1,2,anxious
57,female,9,2,2,2,13,0,3,introvert,2,married,4,2,5,4,0,7,1,9,happy
21,other,9,1,2,4,14,0,2,extrovert,4,married,1,10,2,1,0,1,5,7,happy
19,male,4,5,2,2,10,0,1,extrovert,3,in_relationship,2,8,5,4,1,9,1,8,happy
23,female,8,2,2,8,5,0,1,introvert,1,married,8,8,3,1,0,7,7,6,stable
59,female,7,4,1,3,7,1,3,extrovert,5,single,6,1,5,5,0,10,1,6,stable
21,male,5,2,2,9,3,0,2,introvert,5,in_relationship,2,8,3,5,0,9,1,9,happy
46,male,9,3,1,4,7,1,1,introvert,1,single,6,2,2,1,0,7,2,4,stable
35,female,5,2,2,6,4,1,1,extrovert,1,single,10,6,3,4,0,2,10,5,stressed
43,other,8,2,1,10,13,0,4,introvert,5,married,9,1,2,1,1,6,3,9,stressed
51,female,8,3,0,5,13,0,4,extrovert,3,married,7,5,2,2,1,10,1,1,anxious
27,male,5,5,1,10,10,0,1,introvert,5,single,9,7,4,5,0,4,9,4,anxious
53,female,9,5,1,1,12,0,3,extrovert,1,single,5,10,2,2,0,3,10,7,happy
31,male,5,2,2,9,3,1,5,extrovert,4,in_relationship,7,1,3,5,1,2,8,9,stressed
48,female,4,3,1,1,13,0,5,extrovert,2,married,7,2,4,5,0,6,5,10,happy
32,other,6,3,0,8,13,0,1,introvert,4,in_relationship,3,7,4,3,0,8,2,6,stressed
25,female,9,4,0,9,10,0,1,introvert,4,in_relationship,7,6,2,2,0,6,5,8,stressed
31,female,9,5,2,9,6,1,1,extrovert,1,in_relationship,1,3,5,2,0,9,6,9,happy
40,male,7,1,0,1,9,0,3,introvert,5,single,9,10,5,3,0,5,1,10,happy
57,male,3,5,1,2,3,1,4,extrovert,3,in_relationship,10,2,4,4,0,2,4,4,stable
38,male,6,5,0,1,7,0,1,extrovert,4,in_relationship,6,10,2,2,0,8,9,1,stressed
33,female,8,4,2,10,4,1,1,introvert,5,single,5,4,5,1,0,9,2,8,stable
35,other,9,1,1,2,13,1,2,extrovert,3,married,7,3,2,3,1,10,5,2,anxious
41,male,5,4,2,10,13,0,3,introvert,4,married,5,7,2,2,1,4,1,1,stressed
43,male,6,1,1,8,15,0,1,extrovert,3,in_relationship,10,8,4,4,1,6,4,7,anxious
42,female,7,2,0,5,11,1,2,introvert,5,single,5,2,4,2,0,10,4,10,stressed
58,male,8,1,2,7,6,0,5,extrovert,2,married,10,10,1,5,0,8,6,9,stable
46,other,3,4,2,2,13,1,1,extrovert,5,in_relationship,7,7,5,1,0,9,10,9,anxious
32,other,3,5,1,8,9,0,1,introvert,1,in_relationship,10,8,5,3,1,5,9,3,anxious
18,male,7,1,2,6,11,1,2,extrovert,3,single,7,6,5,5,0,6,3,6,stable
42,male,7,1,1,8,15,1,3,extrovert,2,in_relationship,3,6,3,4,0,4,9,7,stressed
24,female,5,3,1,1,2,1,1,introvert,3,married,3,10,2,5,0,5,6,10,happy
26,other,9,5,1,1,6,0,5,extrovert,3,single,10,1,4,5,0,7,7,9,happy
41,other,3,2,1,7,4,0,1,introvert,4,married,3,4,5,4,0,9,10,2,depressed
18,male,8,4,0,8,5,0,5,extrovert,1,married,6,1,1,5,1,10,2,8,stable
25,female,6,2,1,3,3,0,4,introvert,3,married,6,4,5,3,1,6,10,7,stable
41,other,8,5,2,5,10,0,4,extrovert,5,in_relationship,3,2,2,2,0,6,6,4,stable
28,other,4,1,0,1,4,0,5,extrovert,5,in_relationship,3,5,2,5,1,8,6,2,stressed
34,female,4,1,2,7,3,1,3,extrovert,4,married,8,10,4,3,0,4,2,8,happy
25,female,7,5,0,5,11,0,1,introvert,1,married,8,9,3,2,0,3,2,5,happy
52,other,5,1,1,8,12,0,1,introvert,1,single,7,10,4,2,0,7,2,6,stressed
52,other,4,1,0,8,10,0,4,introvert,5,single,10,3,5,5,0,5,10,7,depressed
50,female,3,1,0,9,8,0,5,introvert,2,in_relationship,4,8,1,3,0,2,1,10,happy
22,other,8,4,2,7,7,0,1,extrovert,4,in_relationship,4,3,4,5,1,2,5,1,stable
59,male,8,4,2,1,2,1,1,extrovert,4,single,3,6,3,4,0,6,8,8,happy
56,male,7,3,1,3,6,1,3,introvert,5,married,5,4,4,2,0,8,2,4,stable
58,female,9,2,0,8,13,0,2,introvert,5,in_relationship,3,8,2,5,0,1,5,9,happy
45,female,9,5,0,3,12,0,4,introvert,2,married,8,6,5,2,1,6,8,1,stressed
24,female,6,5,0,8,15,1,4,extrovert,2,single,7,8,5,3,0,2,10,2,anxious
26,male,7,5,1,1,12,0,2,introvert,1,in_relationship,3,1,5,1,0,2,5,6,happy
25,other,6,3,1,5,4,0,1,introvert,4,in_relationship,9,6,5,5,0,7,2,10,happy
29,male,9,4,1,4,2,0,3,extrovert,4,single,5,1,5,5,0,10,3,1,stable
51,other,7,3,1,5,5,0,3,extrovert,5,in_relationship,9,1,5,2,0,1,6,4,stable
50,male,7,5,1,8,14,0,4,introvert,1,single,7,8,1,3,0,6,5,8,stable
40,other,7,2,2,10,3,0,3,extrovert,4,in_relationship,7,7,3,4,0,7,4,10,stable
41,male,9,1,0,4,3,0,2,introvert,1,single,6,3,5,3,0,8,4,5,stable
54,female,6,4,0,4,4,1,1,extrovert,1,in_relationship,2,6,3,5,1,7,5,9,happy
52,male,6,4,0,3,9,0,2,introvert,5,married,9,9,5,4,0,6,2,6,stable
57,other,7,3,0,7,9,1,5,introvert,1,married,6,7,4,3,0,9,9,1,anxious
39,male,4,4,0,3,13,1,4,introvert,2,married,8,3,5,1,1,3,2,6,stable
44,male,5,5,0,3,8,0,3,introvert,2,in_relationship,1,6,2,2,0,6,10,6,stable
52,male,9,5,0,10,7,0,5,extrovert,3,in_relationship,5,4,1,3,1,4,2,6,happy
18,female,5,3,0,5,10,0,3,extrovert,5,married,1,3,4,3,0,2,10,8,stable
52,male,5,5,2,5,5,0,1,extrovert,3,married,10,9,4,1,0,1,9,6,stable
54,female,6,2,0,6,13,1,1,extrovert,2,single,8,10,2,5,0,1,3,5,stable
31,female,6,3,2,8,2,0,1,introvert,3,single,8,2,5,2,1,10,10,2,depressed
20,male,4,2,1,10,9,1,3,introvert,5,single,1,1,1,3,0,3,7,4,anxious
18,male,5,1,0,6,8,0,5,extrovert,5,married,9,2,4,4,0,4,4,10,stable
22,male,5,2,1,1,8,0,1,extrovert,1,married,2,7,1,3,1,2,6,5,happy
43,other,7,1,1,8,4,0,5,extrovert,4,married,9,10,4,2,0,1,4,10,happy
31,male,6,1,1,8,5,0,3,extrovert,1,single,1,1,5,3,0,4,10,4,stressed
56,female,5,2,2,9,11,0,5,extrovert,5,in_relationship,10,6,4,1,0,7,7,2,depressed
44,male,8,3,1,9,10,0,3,introvert,2,married,9,7,4,3,0,10,1,7,stable
26,other,4,5,1,2,7,0,3,introvert,2,in_relationship,4,9,3,3,0,6,3,10,happy
32,male,8,5,1,2,6,0,4,introvert,1,in_relationship,9,8,5,4,0,6,3,10,happy
32,other,8,1,0,3,4,1,3,extrovert,5,in_relationship,7,6,2,1,0,9,1,2,stressed
43,other,9,1,0,1,10,0,3,extrovert,2,single,6,3,2,1,0,2,6,1,stable
59,male,9,3,2,4,6,1,2,extrovert,5,in_relationship,5,8,5,3,1,4,9,5,stable
30,female,4,4,2,4,6,1,1,extrovert,2,married,9,7,2,4,1,5,8,1,anxious
49,other,8,2,0,9,15,1,4,introvert,5,single,2,3,5,3,0,1,7,1,anxious
56,male,5,1,2,9,5,0,4,introvert,3,married,2,9,2,3,1,8,10,1,anxious
49,male,6,5,0,9,15,1,4,extrovert,5,married,9,2,3,2,0,8,8,6,depressed
21,female,4,3,1,10,5,0,2,introvert,5,single,3,3,2,2,0,6,6,9,stressed
47,other,7,2,1,7,13,0,3,introvert,1,married,8,2,4,4,0,5,9,10,stressed
54,other,8,3,2,2,2,0,1,extrovert,3,married,9,1,5,5,0,8,3,1,stable
40,male,4,2,0,10,8,1,5,extrovert,4,single,8,4,1,2,0,3,10,5,depressed
56,male,3,2,0,5,10,0,3,extrovert,1,married,4,5,1,5,1,3,10,9,stressed
32,female,3,1,2,4,4,1,2,extrovert,4,in_relationship,1,6,5,1,0,2,9,9,happy
46,female,9,3,0,8,13,0,3,extrovert,2,married,4,5,3,2,1,5,4,1,stressed
53,other,6,3,1,2,14,1,3,extrovert,4,in_relationship,9,1,2,2,0,3,7,8,stressed
30,other,5,5,2,6,3,1,2,introvert,5,married,2,3,3,4,0,3,9,1,stressed
49,male,6,5,2,5,4,0,4,introvert,4,single,3,1,1,5,0,6,2,8,happy
24,other,6,1,0,2,2,1,4,extrovert,1,single,10,5,5,2,0,8,2,1,stressed
39,female,6,1,2,10,7,0,1,introvert,1,married,8,5,5,2,0,2,9,5,stressed
45,female,6,4,0,1,12,0,1,extrovert,4,single,6,6,3,4,0,4,3,8,happy
19,male,7,5,0,8,12,0,4,extrovert,1,married,8,8,3,4,0,7,9,6,stressed
59,female,7,2,0,2,8,0,5,extrovert,1,single,7,10,2,5,0,1,5,9,happy
23,female,9,3,0,7,12,0,3,extrovert,4,in_relationship,5,1,4,1,0,1,6,1,stressed
45,female,4,1,0,9,12,0,5,introvert,3,married,9,4,4,1,0,10,2,9,anxious
45,female,3,3,2,9,3,0,3,extrovert,3,in_relationship,4,10,2,3,1,7,8,1,anxious
37,male,6,3,1,8,9,1,4,introvert,2,in_relationship,6,1,4,2,0,7,9,10,stressed
47,male,9,4,1,10,15,1,1,extrovert,1,married,2,9,1,5,0,1,2,10,happy
28,other,4,5,2,9,7,1,1,extrovert,4,in_relationship,2,7,4,2,1,1,6,3,stressed
45,female,3,1,2,2,15,1,5,extrovert,1,married,2,7,2,5,0,4,6,1,stressed
42,other,8,3,1,6,5,1,1,introvert,5,in_relationship,10,5,4,5,0,5,8,3,anxious
56,male,5,1,1,4,6,0,4,extrovert,1,married,7,7,5,5,1,5,10,2,stressed
50,male,7,2,1,4,9,0,5,extrovert,1,married,2,2,3,2,0,4,5,2,stable
18,male,8,4,1,5,15,1,3,extrovert,3,single,2,4,1,4,0,8,9,9,stressed
44,male,3,2,1,3,4,0,1,introvert,4,married,9,7,5,2,0,7,1,8,stable
30,male,8,1,0,1,4,0,2,introvert,1,married,7,3,5,5,1,9,9,1,anxious
58,male,5,1,2,8,15,0,1,introvert,3,in_relationship,3,2,2,3,1,7,10,4,depressed
20,male,9,5,0,5,15,0,3,extrovert,2,married,3,10,3,1,0,10,7,1,stressed
56,female,3,3,1,3,12,0,5,introvert,3,single,7,2,3,5,0,1,4,1,stressed
23,other,8,3,1,10,5,0,3,extrovert,3,in_relationship,5,1,1,3,0,7,3,4,stressed
25,male,7,2,1,7,2,0,2,introvert,3,in_relationship,10,5,2,4,0,1,10,2,anxious
44,female,7,4,0,7,10,0,4,introvert,1,single,6,6,1,5,0,7,6,3,stressed
26,female,4,3,0,1,9,0,1,extrovert,1,in_relationship,8,6,4,3,0,10,1,9,happy
54,other,8,5,1,9,9,0,5,introvert,2,in_relationship,9,9,5,5,1,8,3,2,stable
50,male,6,2,0,2,15,1,4,extrovert,5,in_relationship,1,4,1,2,1,9,2,4,stressed
59,other,8,2,0,5,11,0,3,extrovert,5,in_relationship,3,1,5,3,0,3,9,1,anxious
41,male,9,5,1,5,7,0,5,introvert,5,single,7,6,2,2,0,4,3,2,happy
32,female,3,4,0,8,8,1,4,extrovert,2,single,6,5,4,2,0,4,2,5,stable
49,female,3,5,2,8,7,0,5,extrovert,5,in_relationship,7,10,2,3,0,9,4,10,stable
49,female,9,4,2,7,10,0,2,introvert,5,in_relationship,8,6,4,1,0,7,2,1,stressed
41,female,8,5,2,7,4,0,2,introvert,3,single,6,3,4,3,1,3,1,7,happy
58,other,9,5,2,6,15,1,1,extrovert,1,single,3,2,5,1,0,10,6,4,stressed
29,male,5,1,1,6,4,0,1,introvert,1,single,2,6,2,5,0,5,10,6,stressed
56,male,9,2,1,9,4,0,2,extrovert,3,in_relationship,7,1,2,5,0,7,8,8,stressed
19,other,7,5,1,6,11,1,5,extrovert,3,in_relationship,1,7,1,3,0,8,10,6,stressed
20,male,9,5,2,2,4,0,2,introvert,3,married,3,7,2,5,0,1,10,2,happy
54,female,3,3,2,2,10,0,1,introvert,1,single,4,10,1,4,0,2,2,1,stable
34,male,7,2,0,5,13,0,2,introvert,5,in_relationship,1,7,3,2,0,7,9,8,stressed
19,female,3,3,0,4,5,0,2,introvert,3,single,5,10,3,2,1,2,3,8,happy
19,other,4,2,2,2,14,0,5,extrovert,2,in_relationship,10,1,3,1,0,7,8,9,stressed
45,male,6,3,2,3,8,0,4,extrovert,3,single,3,4,2,5,0,9,8,6,stable
40,other,3,5,2,7,15,1,1,introvert,4,in_relationship,2,7,2,1,0,2,3,1,stressed
54,male,7,5,2,8,10,0,5,introvert,3,married,3,9,1,2,0,7,3,9,happy
49,female,4,1,0,6,12,0,2,extrovert,1,married,8,5,4,2,0,4,6,3,anxious
50,other,3,3,2,5,13,0,2,extrovert,3,single,6,2,1,5,0,2,1,6,stable
18,male,5,4,0,1,8,0,4,extrovert,4,in_relationship,7,7,3,4,0,7,4,10,happy
36,female,9,1,2,8,10,0,1,extrovert,2,in_relationship,6,10,1,4,0,5,1,10,happy
19,other,6,3,2,3,13,1,1,introvert,5,single,6,1,4,5,0,1,3,9,happy
43,other,3,3,2,6,4,0,3,extrovert,3,in_relationship,3,7,2,5,0,5,9,3,stressed
49,male,4,1,0,3,5,1,1,extrovert,4,single,8,6,1,1,1,3,5,5,stressed
23,male,5,5,0,7,15,1,4,introvert,4,in_relationship,7,7,3,5,0,7,5,5,anxious
49,male,8,3,1,7,9,0,3,extrovert,2,single,7,10,3,4,0,6,4,10,happy
21,female,4,5,2,9,7,1,3,extrovert,1,in_relationship,6,3,2,5,0,8,3,7,stressed
28,male,9,1,1,5,6,0,2,introvert,3,single,5,3,1,1,0,5,5,4,stable
34,other,4,5,1,8,14,0,2,introvert,4,in_relationship,10,7,4,1,1,2,4,4,stressed
55,other,5,2,0,10,5,0,1,introvert,2,married,8,2,2,1,0,9,8,7,depressed
41,male,4,4,0,10,9,0,3,extrovert,5,in_relationship,5,1,1,1,1,8,4,9,anxious
22,male,5,3,1,8,2,0,2,extrovert,4,single,9,9,5,3,1,6,8,4,stressed
51,other,3,4,2,1,15,0,4,introvert,2,married,9,9,3,5,0,10,6,4,stressed
23,female,5,5,0,5,10,0,2,introvert,1,in_relationship,1,7,4,2,0,7,5,6,stable
39,male,5,3,2,3,2,0,2,extrovert,1,married,6,7,4,5,0,9,4,6,happy
28,male,6,5,2,1,9,0,3,introvert,4,in_relationship,7,3,4,3,1,7,4,7,happy
33,other,5,2,1,4,5,1,3,introvert,4,married,3,10,3,1,0,3,4,1,stable
50,male,5,1,1,8,10,1,5,introvert,3,single,7,2,1,3,0,6,9,3,depressed
26,female,8,3,1,3,15,0,4,extrovert,2,in_relationship,7,7,2,4,0,7,4,9,happy
23,other,3,2,1,10,12,0,3,extrovert,4,in_relationship,2,9,1,4,0,2,9,6,anxious
33,male,9,2,0,2,6,1,1,extrovert,3,single,7,1,2,5,0,3,10,6,stressed
46,other,6,3,0,9,4,1,4,extrovert,3,married,1,4,4,5,0,4,6,5,stable
20,male,8,5,1,10,10,1,4,extrovert,4,single,5,6,1,2,0,10,10,3,depressed
37,male,7,2,0,5,12,0,3,extrovert,1,single,9,7,4,2,1,6,7,5,stressed
53,male,3,4,1,7,15,0,4,introvert,2,married,7,10,5,4,0,1,10,1,anxious
36,female,3,2,2,2,15,0,3,extrovert,2,single,7,7,4,1,0,9,3,3,stressed
43,female,7,5,2,9,10,0,2,extrovert,1,in_relationship,2,10,4,3,0,5,8,4,stable
20,other,9,5,2,9,5,1,5,introvert,4,in_relationship,8,2,2,2,0,7,3,5,stable
36,male,5,4,1,4,12,1,2,extrovert,2,in_relationship,3,4,5,2,0,9,1,10,happy
37,male,8,2,2,4,5,0,3,extrovert,4,single,8,5,4,1,0,9,10,9,stable
49,female,4,5,0,6,13,1,3,introvert,4,in_relationship,3,1,4,1,0,1,5,4,stressed
24,male,6,3,2,10,9,0,2,introvert,3,in_relationship,10,1,5,5,0,1,2,3,stressed
58,female,4,1,2,10,3,0,1,introvert,1,in_relationship,7,10,5,3,0,3,10,10,stable
50,male,7,1,2,10,10,0,1,extrovert,4,in_relationship,2,3,1,1,0,6,6,1,depressed
57,other,3,1,0,6,14,1,1,introvert,5,in_relationship,4,10,2,2,0,2,10,10,anxious
56,male,9,2,1,1,15,0,3,extrovert,1,in_relationship,6,3,5,2,0,10,9,6,stressed
35,male,3,4,0,9,7,1,4,extrovert,2,single,9,8,5,4,0,1,1,7,happy
57,female,6,5,1,2,10,1,3,extrovert,3,in_relationship,5,9,3,1,0,1,4,10,happy
18,male,3,3,1,5,9,0,4,extrovert,2,in_relationship,9,1,5,5,0,5,1,8,stable
28,male,3,3,2,9,8,0,2,introvert,2,married,5,2,2,3,0,4,1,1,stressed
45,female,6,2,1,4,14,1,5,introvert,1,single,10,10,4,5,1,1,8,4,stressed
42,other,8,1,0,3,15,0,4,extrovert,2,single,8,2,4,2,1,4,2,5,stable
40,other,8,2,0,7,2,1,1,introvert,4,single,1,4,4,5,0,3,1,2,stable
48,female,6,4,1,6,15,1,3,extrovert,2,single,7,2,4,2,0,2,8,1,anxious
47,female,9,4,2,8,13,0,2,extrovert,3,in_relationship,4,7,3,2,1,9,4,8,stable
59,female,7,5,2,3,4,0,1,extrovert,3,in_relationship,5,9,5,2,0,1,3,6,happy
52,female,3,5,0,5,12,1,2,introvert,5,married,6,7,4,2,0,7,4,5,stressed
24,female,9,4,2,10,15,0,5,extrovert,3,married,5,6,1,2,1,4,5,9,stable
33,other,3,4,1,4,3,0,3,extrovert,2,single,1,10,4,4,0,5,1,2,happy
43,other,7,4,1,4,6,0,3,introvert,3,married,9,1,5,5,0,10,1,10,happy
19,female,8,2,0,4,6,0,5,introvert,1,married,2,10,4,4,0,5,3,8,happy
18,male,9,4,1,10,6,1,3,introvert,3,single,9,9,3,4,0,1,6,10,happy
29,female,5,3,0,8,5,1,4,introvert,4,single,10,5,2,1,0,6,1,9,stable
22,male,5,1,1,6,6,0,2,extrovert,1,married,2,5,2,1,0,9,2,1,stressed
54,female,5,4,0,3,4,0,1,introvert,5,in_relationship,9,6,5,1,0,2,7,7,stable
49,female,8,1,2,10,13,0,5,extrovert,4,married,6,9,2,3,0,7,1,8,stable
